"Dam Name","State","Downstream Hazard Potential","Incident Type","Incident Date","Incident Driver","Incident Mechanism 1","Incident Mechanism 2","Incident Mechanism 3","Incident ID","Incident Description","Named Hydrologic Event","EAP Enacted (Y/N) due to Incident","Fatalities (Number)","Number of People Evacuated","Number of Habitable Structures Evacuated","Number of Habitable Structures Flooded","Other Infrastructure Impacts","Economic Damages (in $)","Response","Volume released at failure (ac-ft)","Additional Remarks or Updates","Owner Type","Dam Type","Primary Purpose(s)","EAP","Dam Height","Max Storage (ac-ft)","Surface Area (acres)","Year Completed","NID Number","River Name","Latitude","Longitude","Year Modified","Regulatory Agency(ies)","Incident Time","Incident Duration","Incident Report Produced","Information Sources","Attachments"
"BUFFALO LAKE ROAD DAM 2","SD","S","Failure","06/23/2014","Deterioration Or Poor Condition","Spillway Pipe Failure","Piping","Sinkhole","SD00407-2140","Based on news reports and SD Dam Safety info it appears that CMP spillways deteriorated and failed causing internal erosion and sink holes. High water in the lake exacerbated the erosion.","","","","","","","Roads","","","","The CMP Spillway was added about 25 years ago per SD Dam Safety. Attached photos from both dam 1 & 2.","S","RE","R","Y","82 ft","2850 ac-ft","0 acres","1961","SD00407","TR CHEYENNE","44.6217","-102.003","1991","DENR","","","","","Y"
"BULL RUN","PA","H","Non-failure","12/28/2007","Malfunction Of Equipment/gate","Debris Clogging","","","PA00463-3212","THE TRASH RACK AND OUTLET PIPE WAS PARTIALLY CLOGGED AND DRY DAM WAS NOT DRAINING.","","No","0","0","","","","","WATER LEVEL WAS 9 FT ABOVE OUTLET PIPE.  CITY RENTED PUMP TO DRAW DOWN WATER & CLEAR TRASH RACK.","","IN 2010, A PERMIT WAS ISSUED TO MODIFY THE OUTLET AND TRASH RACK.  COMPLETED AS PER 2012 INSPECTION.","L","RE","C","Y","44 ft","383 ac-ft","20 acres","1934","PA00463","BULL RUN","40.3478","-79.6056","0","PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION","","","","PA Dam Safety",""
"BURLINGTON DAM #1","ND","L","Non-failure","04/11/2011","Hydrologic/flooding","Piping","","","ND00275-962","The Des Lacs River was at flood stage, causing the dam to be in danger of overtopping.  The dam was also experiencing piping in a couple of locations.","","No","","200","","0","None","","","0 ac-ft","Approximately 200 were advised to evacuate (this number was reported in the news, but I don't have confirmation of this number).  The dam was only part of the reason these people were advised to evacuate - there was already major flooding occuring in the river.","L","RE","IR","NR","27 ft","566 ac-ft","38 acres","1935","ND00275","DES LACS RIVER","48.2852","-101.455","1957","NDSWC","","","","",""
"BURNT MILL POND DAM","NJ","S","Non-failure","08/14/2011","Hydrologic/flooding","Overtopping","","","NJ00632-1165","overtopped, severe erosion of embankment near spillway","","No","","0","","0","Unknown","Unknown","","","","L","PGRE","R","Y","9 ft","40 ac-ft","9 acres","0","NJ00632","BURNT MILL BRANCH","39.5318","-75.0443","0","NJDEP","","","","",""
"BURTON LAKE DAM","OH","S","Non-failure","06/28/2018","Seepage/internal Erosion","Piping","Spillway Chute Failure","","OH01611-3266","Cloudy discharge from under spillway reported by downstream neighbor.","","No","0","0","0","0","","","ODSP staff made site visits to assist owner with construction of weighted filter berm at the outlet and excavation of partial breach though the emergency spillway since there was no lake drain to lower the water level. A Chief's Order issued to breach the dam. The dam owner fully breached the dam by the end of the year.","","","L","RE","R","Y","9 ft","447 ac-ft","18 acres","1952","OH01611","TRIBUTARY TO BRIDGE CREEK","41.4303","-81.1861","0","DEPARTMENT OF NATURAL RESOURCES","","6 months","No","OH DNR",""
"BURTON LAKE DAM","OH","S","Non-failure","02/28/2011","Hydrologic/flooding","Overtopping","","","OH01611-968","heavy rains overtopped the dam - no significant damage","","Yes","","0","","","","","","","","L","RE","R","Y","9 ft","447 ac-ft","18 acres","1952","OH01611","TRIBUTARY TO BRIDGE CREEK","41.43","-81.18","0","DEPARTMENT OF NATURAL RESOURCES","","","","",""
"BURWELL SUMTER DIVERSION DAM","NE","L","Non-failure","06/12/2010","Hydrologic/flooding","Overtopping","","","NE01464-1225","The dam was overtopped but did not fail.","","No","","0","","0","","","","0 ac-ft","This is a diversion dam used to divert water into an irrigation canal.  The NE DNR dam safety program does not have jurisdiction over diversion dams.","","RE","I","NR","21 ft","1100 ac-ft","1 acres","1933","NE01464","NORTH LOUP RIVER","41.7909","-99.131","0","NE DNR","","","","",""
"BUTTON ROCK","CO","H","Non-failure","09/14/2013","Hydrologic/flooding","Spillway Erosion/head Cutting","","","CO00171-2064","Spillway flowing causing damage, report of dam in trouble,failing. Colorado Flooding of 9-13","","","","","","","","","","","","L","RE","S","Y","214 ft","20400 ac-ft","222 acres","1969","CO00171","NORTH ST. VRAIN CREEK","40.2171","-105.367","1990","DWR","","","","",""
"BYLLESBY","VA","H","Non-failure","01/31/2013","Hydrologic/flooding","Overtopping","","","VA03501-1540","Severe storms caused water to flow over the dam and flashboards, causing the water pressure to build up to potentially unsafe levels behind the dams.  The flashboards are designed to give way but in this case, they needed to be removed by hand.","","Yes","","","","","","","","","Pulaski County declared a state of emergency and issued mandatory evacuations in the Parrott, Belspring, Hiwassee, Delton, and Allisonia communities.  About 80 homes were contacted for evacuation.","U","PGCN","HR","Y","63 ft","2034 ac-ft","242 acres","1912","VA03501","NEW RIVER","36.7858","-80.9336","1993","DCR","","","","","Y"
"CADE LAKE NUMBER 3 DAM","TX","S","Non-failure","03/27/1984","Unknown","Spillway Deficiency","","","TX04210-2798","S.S. FAILED","","","","","","","","","","","","L","RE","R","N","20 ft","584 ac-ft","0 acres","1972","TX04210","SECOND DAVIDSON CREEK","30.5039","-96.7656","0","TCEQ","","","","TX DEQ",""
"CADE LAKE NUMBER 3 DAM","TX","S","Non-failure","10/17/1994","Unknown","Spillway Deficiency","","","TX04210-2756","S.S. FAILED","","","","","","","","","","","","L","RE","R","N","20 ft","584 ac-ft","0 acres","1972","TX04210","SECOND DAVIDSON CREEK","30.5039","-96.7656","0","TCEQ","","","","TX DEQ",""
"CADE LAKE NUMBER 3 DAM","TX","S","Non-failure","12/01/1991","Unknown","Spillway Deficiency","","","TX04210-2767","S.S. FAILED","","","","","","","","","","","","L","RE","R","N","20 ft","584 ac-ft","0 acres","1972","TX04210","SECOND DAVIDSON CREEK","30.5039","-96.7656","0","TCEQ","","","","TX DEQ",""
"CADE LAKE NUMBER 3 DAM","TX","S","Non-failure","04/25/1990","Unknown","Spillway Deficiency","","","TX04210-2773","S.S. FAILED","","","","","","","","","","","","L","RE","R","N","20 ft","584 ac-ft","0 acres","1972","TX04210","SECOND DAVIDSON CREEK","30.5039","-96.7656","0","TCEQ","","","","TX DEQ",""
"CADENHEAD DAM","TX","","Non-failure","12/28/2018","Seepage/internal Erosion","Piping","","","TX07536-3292","PIPING FAILURE DID NOT BREACH THE DAM","","","","","","","","","","","","","RE","","","21 ft","43 ac-ft","0 acres","0","TX07536","","0","0","0","","","","","TCEQ",""
"CALLAWAY DAM","TX","L","Non-failure","05/13/2004","Hydrologic/flooding","Overtopping","","","TX02133-2731","OVERTOPPING","","","","","","","","","","","","P","RE","R","NR","20 ft","298 ac-ft","25 acres","1961","TX02133","TR-LITTLE PIN OAK CREEK","30.9199","-96.5468","2006","TCEQ","","","","TX DEQ",""
"CAMP LA JUNTA DAM","TX","S","Non-failure","05/01/2000","Hydrologic/flooding","Overtopping","","","TX09244-2736","OVERTOPPING","","","","","","","","","","","","P","CNRE","R","Y","11 ft","25 ac-ft","3 acres","1978","TX09244","SOUTH FORK GUADALUPE RIVER","30.0679","-99.3349","2005","TCEQ","","","","TX DEQ",""
"CAMP VICTOR CONSERVATION CLUB","IN","","Failure","06/01/2008","Hydrologic/flooding","Overtopping","","","IN00000-142","","","No","","","","","","","","","precise date unknown.","","","","","0 ft","0 ac-ft","0 acres","0","IN00000","","0","0","0","","","","","",""
"CAMPTON POND HYDRO DAM","NH","H","Non-failure","08/28/2011","Hydrologic/flooding","Overtopping","","","NH00130-1143","overtopping of the left side upstream training wall, earthen portion","Irene","Yes","","200","","0","Roads","","","0 ac-ft","many mobile homes received flooding to the underneath areas, insulation etc. Mobile home community evacuated, Per fire chief 90 homes, 200 people Youtube video of the dam can be found with ""Campton dam"" search","F","CN","H","Y","39 ft","650 ac-ft","60 acres","1890","NH00130","MAD RIVER","43.8619","-71.6325","2004","","12:00 AM","","","","Y"
"CANTERBURY DAM","VA","H","Non-failure","05/18/2018","Hydrologic/flooding","Overtopping","","","VA087002-3302","overtopping of dam/damage to road","","No","0","","","","","","","","","L","RE","R","Y","13 ft","162 ac-ft","11 acres","0","VA087002","","37.6024","-77.6062","0","DEPARTMENT OF CONSERVATION AND RECREATION","","","","VA DCR",""
"CANTERBURY DAM","VA","H","Non-failure","12/12/2018","Malfunction Of Equipment/gate","Accident Or Misoperation","Erosion","","VA087002-3303","Dam experienced internal erosion away from edges and was subsequently excavated tor repair watermain break and later backfilled.","","No","0","","","","","","","","","L","RE","R","Y","13 ft","162 ac-ft","11 acres","0","VA087002","","37.6024","-77.6062","0","DEPARTMENT OF CONSERVATION AND RECREATION","","","","VA DCR",""
"CANTON OLD CITY LAKE DAM","TX","H","Non-failure","12/03/1982","Deterioration Or Poor Condition","Animal Activity","","","TX04400-2800","ANIMAL BURROWS","","","","","","","","","","","","L","RE","R","Y","18 ft","220 ac-ft","17 acres","1930","TX04400","TR-DRY CREEK","32.5584","-95.872","1984","TCEQ","","","","TX DEQ",""
"CANTRELL LAKE DAM","TX","L","Failure","05/17/2018","Unknown","Unknown","","","TX02805-3291","BREACHED","","","","","","","","","","","","P","RE","S","NR","18 ft","137 ac-ft","12 acres","1972","TX02805","TR-HORSLEY CREEK","32.4586","-95.6248","0","TCEQ","","","","TCEQ",""
"CANTRELL LAKE DAM","TX","L","Failure","05/10/2019","Unknown","Unknown","","","TX02805-3388","","","","0","","","","","","","","","P","RE","S","NR","18 ft","137 ac-ft","12 acres","1972","TX02805","TR-HORSLEY CREEK","32.4586","-95.6248","0","TCEQ","","","","TX Dam Safety",""
"CANYON LAKE","SD","","Failure","01/01/1972","Hydrologic/flooding","Overtopping","","","SD00000-128","","","No","33","","","","","$50 million to $100 million","","","237-238 killed - 33 from dam failure? $60-164 million in damages;  3,000 injured. The safety inspection and repair program was spurred by the collapse of a dam built & operated by the city  near Rapid City, S.D., in 1972. More than 200 persons died and d Fatalities: 33 -","","RE","","","20 ft","0 ac-ft","0 acres","0","SD00000","","0","0","0","","","","","",""
"CARDINAL LAKE DAM","GA","L","Non-failure","01/01/2019","Deterioration Or Poor Condition","Spillway Pipe Failure","","","GA00581-3343","Flow through principal spillway displaced outlet end of pipe, creating hole in downstream slope.","","No","","Unknown","Unknown","Unknown","Unknown","Unknown","Road over dam closed and temporary repairs done quickly. Lake drain then opened to keep lake low.","","Auxiliary spillway was already in very poor condition. Program in process of reclassifying the dam.","P","RE","R","NR","27 ft","380 ac-ft","34 acres","1959","GA00581","KNOX BRANCH","33.975","-84.13","0","GA-SAFE DAMS PROGRAM","","","Yes","GA Safe Dams Program",""
"CARLIN","WI","","Failure","01/01/2008","Hydrologic/flooding","Overtopping","","","WI00000-182","","","No","","","","","","","","","Four of the dams were state regulated, NID sized structures (Cushman, Carlin, Figor and Wyocena) while one was an unauthorized dam.  All of the failures were related to embankment breaches and resulted in total loss of the impoundments.  Three of the fail","","","","","0 ft","0 ac-ft","0 acres","0","WI00000","","0","0","0","","","","","",""
"CARO DAM","MI","L","Non-failure","04/14/2014","Malfunction Of Equipment/gate","Gate/valve Failure","","","MI00381-2060","structural failure of tainter gate due to deterioration","","No","","0","","0","","","","","","P","PG","","NR","19 ft","900 ac-ft","200 acres","1928","MI00381","CASS RIVER","43.4617","-83.4167","0","Michigan DEQ","","","","",""
"CAROL-JANE LAKE DAM","OH","S","Non-failure","05/01/2014","Hydrologic/flooding","Overtopping","Spillway Erosion/head Cutting","","OH01062-2655","Two minor overtopping events for the dam. Severe erosion in the emergency spillway.","","No","0","0","0","0","","","","","","P","RE","R","N","25 ft","41 ac-ft","4 acres","1940","OH01062","TRIBUTARY TO WEST BRANCH ROCKY RIVER","41.19","-81.83","0","DEPARTMENT OF NATURAL RESOURCES","","","","OH DNR",""
"CAROLINA LAKE DAM","NC","S","Non-failure","04/25/2011","Deterioration Or Poor Condition","Spillway Riser Failure","","","NC03561-961","Structural failure at base of aging and deteriorated CMP principal spillway riser drained reservoir through principal spillway barrel","","Yes","","0","","0","","None","","100 ac-ft","NOAA issued a flash flood warning in the area after consultation with local Emergency Management agency","P","RE","R","N","24 ft","230 ac-ft","0 acres","0","NC03561","HERDS CREEK","35.3578","-79.2959","0","","","","","",""
"CARPENTER LAKE","PA","L","Non-failure","06/26/2006","Hydrologic/flooding","Overtopping","Erosion","","PA00000-3236","OVERTOPPING RESULTED IN EROSION OF THE DOWNSTREAM FACE.","","","0","0","","","","","EMERGENCY PERMIT TO REPAIR EMBANKMENT WITH SPECIAL CONDITON TO SUBMIT APP FOR REHABILITATION.","","CONCEPT APPROVED BY DEP IN 2007 BUT NO FOLLOW-UP SUBMISSION OF SIGNED & SEALED PLANS.","P","REST","P","","12 ft","0 ac-ft","0 acres","0","PA00000","TR MARTINS CREEK","41.42","-75.4518","0","PADEP","","3 DAYS","","PA Dam Safety",""
"CARRIAGE HILLS #1/UPPER","CO","L","Non-failure","09/13/2013","Hydrologic/flooding","Overtopping","","","CO00000-2127","overtopped, erosion damage but not failure - Colorado Flooding of 9-13","","","","","","","","","","","","","","","","0 ft","0 ac-ft","0 acres","0","CO00000","","0","0","0","","","","","",""
"CARRIAGE HILLS #2/LOWER","CO","L","Failure","09/19/2013","Hydrologic/flooding","Overtopping","","","CO00000-2128","Colorado Flooding of 9-13","","","","","","","","","","","","","","","","0 ft","0 ac-ft","0 acres","0","CO00000","","0","0","0","","","","Yes","","Y"
"CARROLL","TN","S","Non-failure","06/05/2014","Malfunction Of Equipment/gate","Gate/valve Failure","","","TN01703-2136","One of the two radial gates in the spillway gave way partially. The lake drained out under the bent gate.","","No","","0","","0","None","None","","1100 ac-ft","The left half of the dam overtopped briefly during this same time.","S","RE","","NR","20 ft","1848 ac-ft","110 acres","1949","TN01703","CLEAR CREEK","36.1003","-88.4847","0","TENN SAFE DAMS PRG","","","","","Y"
"CARROLLWOOD LAKE 'A-C'","TN","S","Failure","05/02/2010","Unknown","Other","","","TN15786-770","TN Safe Dams","","No","","0","","0","None","","","112 ac-ft","","P","RE","","NR","14 ft","161 ac-ft","20 acres","1988","TN15786","TRIB-FLETCHER CREEK","35.1836","-89.7689","0","TENN SAFE DAMS PRG","","","","",""
"CASA MONTE DAM","TX","L","Non-failure","01/01/1997","Hydrologic/flooding","Overtopping","","","TX07035-2742","OVRTPG/UNDRMNG","","","","","","","","","","","","P","RE","","NR","15 ft","334 ac-ft","56 acres","1993","TX07035","NUECES RIVER","28.6057","-99.7697","0","N","","","","TX DEQ",""
"CASCADE LAKE DAM","MD","S","Non-failure","04/16/2018","Seepage/internal Erosion","Excessive/increased Seepage","","","MD00042-3281","","","Yes","None","None","None","None","Other,recreational lake","","","","","P","ER","R","Y","20 ft","58 ac-ft","5 acres","1900","MD00042","PATAPSCO RIVER-TR-EAST BRANCH","39.6167","-76.8883","1976","MD DAM SAFETY","","6 months","No","MD DAM SAFETY",""
"CASSVILLE DAM","NJ","S","Failure","08/27/2011","Hydrologic/flooding","Overtopping","","","NJ00606-2864","overtopped, embankment failure","Irene","No","","0","","","Roads","","","0 ac-ft","County Road (embankment) closed","P","PGRE","R","Y","6 ft","0 ac-ft","14 acres","0","NJ00606","SMALL BRANCH TOMS RIVER","40.1107","-74.3889","0","NJDEP","","","","NJ DEP",""
"CASSVILLE DAM","NJ","S","Failure","08/27/2011","Hydrologic/flooding","Overtopping","","","NJ00000-1200","overtopped, embankment failure","Irene","No","","0","","","","","","100 ac-ft","County Road (embankment) closed","","","R","","6 ft","0 ac-ft","0 acres","0","NJ00000","SMALL BRANCH TOMS RIVER","0","0","0","NJDEP","","","","",""
"CASTLEMAN CREEK WS SCS SITE 4 DAM","TX","S","Non-failure","03/09/2016","Hydrologic/flooding","Sliding","","","TX04507-2919","SLIDE","","","","","","","","","","","","LP","RE","C","Y","31 ft","760 ac-ft","15 acres","1975","TX04507","TR-CASTLEMAN CREEK","31.422","-97.1069","0","TCEQ","","","","",""
"CEDAR BRIDGE DAM","NJ","L","Failure","08/27/2011","Hydrologic/flooding","Spillway Chute Failure","","","NJ00000-1194","undermining of spillway","Irene","No","","0","","","","","","","County road (embankment) closed","","","","","0 ft","0 ac-ft","0 acres","0","NJ00000","S. BRANCH METEDECONK-TR","0","0","0","NJDEP","","","","",""
"CEDAR CREEK WS SCS SITE 137 DAM","TX","L","Non-failure","06/10/2010","Hydrologic/flooding","Overtopping","","","TX02810-1257","Dam overtopped, but did not fail.","","No","","0","","0","","","","","","L","RE","CRP","NR","33 ft","590 ac-ft","14 acres","1965","TX02810","TR-LACY FORK","32.4522","-96.0635","2010","TCEQ","","","","",""
"CEDAR CREEK WS SCS SITE 138 DAM","TX","L","Non-failure","06/10/2010","Hydrologic/flooding","Overtopping","","","TX02811-1256","Dam overtopped, but did not fail.","","No","","0","","","","","","","","L","RE","CRP","NR","29 ft","831 ac-ft","21 acres","1968","TX02811","TR-CANEY CREEK","32.426","-96.0689","0","TCEQ","","","","",""
"CEDAR CREEK WS SCS SITE 87A DAM","TX","H","Non-failure","05/30/2015","Hydrologic/flooding","Sliding","","","TX03341-2701","SLIDE","","","","","","","","","","","","L","RE","CRP","Y","43 ft","20147 ac-ft","840 acres","1969","TX03341","MUDDY CEDAR CREEK","32.7275","-96.1722","1969","TCEQ","","","","TX DEQ",""
"CEDAR SPRINGS","CO","L","Non-failure","09/19/2013","Hydrologic/flooding","Overtopping","","","CO01767-2084","overtopped, spillway and DS slope damage, Owner reported - Colorado Flooding of 9-13","","","","","","","","","","","","P","RE","FRP","NR","37 ft","50 ac-ft","3 acres","1969","CO01767","CEDAR CREEK","40.4614","-105.32","0","DWR","","","","",""
"CENTERTON LAKE DAM","NJ","S","Failure","08/14/2011","Hydrologic/flooding","Overtopping","","","NJ00439-1183","overtopping resulting in severe erosion of embankment","","Yes","","0","","","Unknown","unknown","","132 ac-ft","","P","PGRE","R","Y","12 ft","576 ac-ft","37 acres","1942","NJ00439","MUDDY RUN","39.525","-75.1699","0","NJDEP","","","","",""
"CENTRAL CROSSING DAM","VA","L","Non-failure","09/01/2020","Structural Stability","Spillway Erosion/head Cutting","","","VA101026-3400","Concrete spillway undermined and in danger of collapse","","","unknown","Unknown","Unknown","","","","","","","P","RE","R","Y","32 ft","125 ac-ft","12 acres","0","VA101026","TRIB TO MUNCUIN CREEK","37.7407","-77.1443","0","DEPARTMENT OF CONSERVATION AND RECREATION","","","Yes","VA Dam Safety",""
"CHACON DAM","TX","H","Non-failure","06/18/2007","Unknown","Spillway Deficiency","","","TX01783-2728","S.S. FAILED","","","","","","","","","","","","L","RE","I","N","15 ft","2312 ac-ft","107 acres","1912","TX01783","CHACON CREEK","29.2366","-98.8739","0","N","","","","TX DEQ",""
"CHADSWOOD SWM POND, CROSS LAUREL DRIVE","MD","S","Non-failure","05/01/2014","Deterioration Or Poor Condition","Spillway Pipe Failure","Sinkhole","","MD00497-3086","CMP culverts failed (deterioration at invert) resulting in sinkholes and slumps on upstream slope.","","No","","","","","","","","","","P","RE","C","Y","20 ft","0 ac-ft","0 acres","1981","MD00497","GREAT SENECA CREEK-TR","39.1896","-77.2293","2015","MD DAM SAFETY","","","","MDE Dam Safety Program",""
"CHALFA DAM","WA","S","Non-failure","08/21/2014","Hydrologic/flooding","Other","","","WA00328-2265","Fire-swept Benson Creek watershed received from 0.4 to 0.9 inches of rain in a one-hour period. Debris partially blocked the spillway","","","0","0","0","0","","None","","","See attached incident report.","P","RE","IR","N","17 ft","80 ac-ft","9 acres","1940","WA00328","TR-BENSON CREEK","48.332","-119.998","1992","Washington, Dept of Ecology","","","Yes","","Y"
"CHANDLER'S MILL DAM","VA","S","Non-failure","11/12/2020","Hydrologic/flooding","Overtopping","","","VA193011-3402","4-5"" rain event caused overtopping, stage 3 emergency","","","unknown","Unknown","Unknown","","","","","","","S","RE","R","N","15 ft","475 ac-ft","0 acres","0","VA193011","","38.0974","-76.8484","0","DEPARTMENT OF CONSERVATION AND RECREATION","","","Yes","VA Dam Safety",""
"CHANDLER'S MILL DAM","VA","S","Failure","01/17/2022","Deterioration Or Poor Condition","Erosion","Overtopping","","VA193011-3494","","","","0","","","","","","","","","S","RE","R","N","15 ft","475 ac-ft","0 acres","0","VA193011","","38.0974","-76.8484","0","DEPARTMENT OF CONSERVATION AND RECREATION","","","","DEPARTMENT OF CONSERVATION AND RECREATION",""
"CHAPEL LAKE DAM","VA","H","Non-failure","02/07/2018","Deterioration Or Poor Condition","Spillway Riser Failure","","","VA059015-3312","Auxiliary (emergency) spillway erosion from heavy rainfall event in greater Lynchburg area on August 2-3, 2018. Dam did not fail.","","No","0","","","","","","Lake water was released through the internal pipe in the dam to the downstream and lake level was lowered. The dam didn't break. Fairfax County opened the low level drain and drained the lake to remove the hazard.","","","","","","N","0 ft","0 ac-ft","0 acres","0","VA059015","","0","0","0","DEPARTMENT OF CONSERVATION AND RECREATION","","","","VA DCR",""
"CHARLES FROST DAM","TX","L","Non-failure","05/05/1989","Hydrologic/flooding","Overtopping","","","TX06443-2782","OVERTOPPED","","","","","","","","","","","","P","RE","","NR","25 ft","0 ac-ft","0 acres","1800","TX06443","PATRICK CREEK","32.7257","-97.8913","0","N","","","","TX DEQ",""
"CHARLESTON RESERVOIR","NV","L","Failure","04/16/2019","Manmade Action","Overtopping","Insufficient Spillway Capacity","Other","NV00038-3247","There were modifications that were completed on the spillway and outlet, which reduced the capacity of this facility.  The dam failed during spring runoff due to this reduced capaicty.","","No","0","0","0","0","Roads","Unknown","","500 ac-ft","Damage was limited to ranch that uses the water during irrigation season and the county road downstream of the dam.","P","RE","IP","NR","16 ft","500 ac-ft","50 acres","1920","NV00038","BRUNEAU RIVER","41.5823","-115.497","1963","NEVADA DWR","","","Yes","NV DWR",""
"CHARTWELL GOLF COURSE","MD","","Failure","01/01/2008","Unknown","Unknown","","","MD00000-154","","","No","","","","","","","","","Chartwell Golf Course CMP spillway  collapsed after 45+ years of service.","","","","","0 ft","0 ac-ft","0 acres","0","MD00000","","0","0","0","","","","","",""
"CHASE GULCH","CO","H","Non-failure","09/12/2013","Seepage/internal Erosion","Excessive/increased Seepage","","","CO02786-2072","new seepage reported; Colorado Flooding of 9-13","","","","","","","","","","","","L","ER","S","Y","100 ft","1250 ac-ft","25 acres","1996","CO02786","CHASE GULCH","39.8165","-105.53","0","DWR","","","","",""
"CHATHAM LAKE DAM","SC","S","Non-failure","09/16/2018","Hydrologic/flooding","Overtopping","Erosion","Spillway Erosion/head Cutting","SC01869-3132","Heavy rainfall from Hurricane Florence caused dam to overtop. Primary spillway was clogged with debris prior to storm and low-level outlet was inoperable (valve stem missing).  Downstream slope failure from erosion at toe exposed core of dam.  Headcutting erosion at auxiliary spillway left an escarpment.","Hurricane Florence","No","0","0","0","0","Roads","","The State issued an Emergency Order to require the dam owner immediately lower water level under direction of a licensed Professional Engineer, submit a detailed investigation by a licensed Professional Engineer, and submit a Plan of Action for the repair","","Manor Road was temporarily closed until water level was lowered to a safe level.","P","RE","R","Y","17 ft","53 ac-ft","7 acres","1978","SC01869","TR-THOMPSON CREEK","34.6732","-79.9104","0","SC DHEC","","","","SC Dam Safety",""
"CHEESMAN","CO","H","Non-failure","06/17/2015","Hydrologic/flooding","High Reservoir Level","","","CO00357-3023","unusual (above normal) spillway and outlet works discharges","","Yes","","","","","","","","","EAP Level 1 activation - Due to unusual (above normal) spillway and outlet works discharges and threat to USFS, State and County infratructure (roads, bridges, campgrounds)","U","MSVA","S","Y","221 ft","87227 ac-ft","874 acres","1905","CO00357","SOUTH PLATTE RIVER","39.2083","-105.274","0","DWR","","","","CO DWR",""
"CHEROKEE COUNTRY CLUB LAKE DAM # 2 MIDDLE LAKE","GA","H","Non-failure","04/19/2019","Hydrologic/flooding","Sinkhole","Insufficient Spillway Capacity","Spillway Pipe Failure","GA03845-3346","Amid rampant rains, two sinkholes formed above spillway alignment on downstream slope.","","Yes","","Unknown","Unknown","Unknown","None","Unknown","Program required lake lowered 2' below NP and affected area taped off.  3"" pumps were employed.","","Temporarily repaired. Permanent repair plans are currently under Program review.","P","RE","R","Y","33 ft","34 ac-ft","2 acres","1966","GA03845","UNKNOWN","33.9951","-84.3639","0","GA-SAFE DAMS PROGRAM","","","Yes","GA Safe Dams Program",""
"CITY OF GRAND SALINE DAM","TX","L","Non-failure","12/27/2015","Hydrologic/flooding","Spillway Deficiency","","","TX02837-2902","PIPE FAILURE","","","","","","","","","","","","L","RE","R","NR","31 ft","673 ac-ft","64 acres","1924","TX02837","SIMMONS CREEK","32.6839","-95.7361","0","TCEQ","","","","",""
"CITY RESERVOIR","TN","","Failure","11/04/1912","Seepage/internal Erosion","Piping","","","TN00000-203","","","No","","","","","","","","","","","","","","0 ft","0 ac-ft","0 acres","0","TN00000","","0","0","0","","","","","",""
"CLARK MILLS UPPER","NY","L","Non-failure","08/28/2011","Hydrologic/flooding","High Reservoir Level","","","NY00120-1321","EAP has been activated because of high flows during Hurricane Irene","Irene","Yes","","","","","","","","","","P","CNCB","HC","NR","23 ft","875 ac-ft","89 acres","1904","NY00120","BATTENKILL RIVER","43.1185","-73.555","1990","NYS DEC","","","","",""
"Claude Johnson Dam","MD","L","Non-failure","03/02/2020","Seepage/internal Erosion","Spillway Pipe Failure","Piping","Sinkhole","MD00000-3432","Owner contacted MDE, 25'x10x7' sinkhole upstream. Nearly breached","","No","0","0","0","0","","Unknown","Siphon installed and pool restricted until repairs","","","","RE","R","NR","11 ft","28 ac-ft","3 acres","1960","MD00000","St. Marys River","38.2835","-76.5378","0","MD Dam Safety","","3 months","No","MD Dam Safety",""
"CLAUSEN SPRINGS DAM","ND","H","Non-failure","04/08/2011","Hydrologic/flooding","High Reservoir Level","","","ND00029-963","flow through the emergency spillway","","No","","0","","0","","","","","","L","RE","FR","Y","52 ft","1274 ac-ft","42 acres","1967","ND00029","SPRING CREEK","46.6832","-98.0369","1968","NDSWC","","","","",""
"CLAYTON COUNTY INTERNATIONAL PARK LAKE DAM","GA","H","Non-failure","12/01/2015","Hydrologic/flooding","Other","","","GA03698-3325","Concrete wall of a building built into the dam collapsed from heavy rainfall event in December.","","","","","","","","","","","","L","RE","R","N","19 ft","106 ac-ft","13 acres","1967","GA03698","UNKNOWN","33.5253","-84.3128","2006","GA-SAFE DAMS PROGRAM","","","","GA-SAFE DAMS PROGRAM",""
"CLEAR CREEK WS SCS SITE 45 DAM","TX","L","Non-failure","05/30/2015","Hydrologic/flooding","Spillway Deficiency","","","TX00557-2689","SPILLWAY DAMAGE","","","","","","","","","","","","L","RE","CPD","NR","51 ft","2750 ac-ft","20 acres","1961","TX00557","WHEAT CREEK","33.5346","-97.3762","0","TCEQ","","","","TX DEQ",""
"CLEAR CREEK WS SCS SITE 48 DAM","TX","L","Non-failure","05/30/2015","Hydrologic/flooding","Spillway Deficiency","","","TX00527-2690","SPILLWAY DAMAGE","","","","","","","","","","","","L","RE","C","NR","37 ft","3124 ac-ft","46 acres","1965","TX00527","GRASS HOPPER CREEK","33.4571","-97.3167","0","TCEQ","","","","TX DEQ",""
"CLEAR CREEK WS SCS SITE 50 DAM","TX","L","Non-failure","05/30/2015","Hydrologic/flooding","Spillway Deficiency","","","TX00631-2699","SPILLWAY DAMAGE","","","","","","","","","","","","LP","RE","C","NR","50 ft","2824 ac-ft","34 acres","1961","TX00631","BUCK CREEK","33.3941","-97.2742","0","TCEQ","","","","TX DEQ",""
